Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
93,Siemens,4.2, Public ,Power , 176 years old , Munich +114 more, 5k-10k Employees ,3.8k Reviews
94,Apollo Hospitals,4.1, Public ,Healthcare , 40 years old , Chennai +168 more, 50k-1 Lakh Employees ,3.8k Reviews
95,Mahindra & Mahindra Financial Services,4.3, Public ,NBFC , 32 years old , Mumbai +604 more, 10k-50k Employees ,3.8k Reviews
96,Tata Projects,4.2, Public ,Engineering & Construction , 44 years old , Mumbai +221 more, 10k-50k Employees ,3.7k Reviews
97,Capgemini Technology Services India Limited,4,,Bengaluru/Bangalore +31 more,,,,3.7k Reviews
98,JLL,4.2, Forbes Global 2000 ,Real Estate , 26 years old , Mumbai +64 more, 5k-10k Employees ,3.7k Reviews
99,First Source,3.9, Public ,BPO , 22 years old , Mumbai +49 more, 10k-50k Employees ,3.6k Reviews
100,Hero MotoCorp,4.2, Public ,Automobile , 39 years old , Gurgaon/Gurugram +288 more, 5k-10k Employees ,3.6k Reviews
101,Hewlett-Packard Enterprise,4.3, Forbes Global 2000 ,Emerging Technologies , 8 years old , Houston +89 more, 10k-50k Employees ,3.6k Reviews
102,JustDial,3.6, Public ,Internet , 27 years old , Mumbai +153 more, 10k-50k Employees ,3.6k Reviews
103,Bajaj Allianz Life Insurance,4.1, 22 years old ,Insurance , Pune +475 more,, 10k-50k Employees ,3.5k Reviews
104,Omega Healthcare,3.7, 19 years old ,IT Services & Consulting , Florida +37 more,, 5k-10k Employees ,3.4k Reviews
105,Cyient,3.7, Public ,IT Services & Consulting , 32 years old , Hyderabad/Secunderabad +27 more, 10k-50k Employees ,3.4k Reviews
106,Megha Engineering & Infrastructures,4.1, Conglomerate ,Engineering & Construction , 34 years old , Hyderabad/Secunderabad +246 more, 1k-5k Employees ,3.4k Reviews
107,L&T Construction,4, Public ,Engineering & Construction , 79 years old , Chennai +285 more, 10k-50k Employees ,3.4k Reviews
108,Hyundai Motor,4.3, Fortune India 500 ,Automobile , 56 years old , Seoul +247 more, 10k-50k Employees ,3.3k Reviews
109,D Mart,3.9, Fortune India 500 ,Retail , 4 years old , Mumbai +197 more, 10k-50k Employees ,3.3k Reviews
110,Reliance Communications,3.9, Public ,Telecom , 21 years old , Navi Mumbai +395 more, 10k-50k Employees ,3.3k Reviews
111,TVS Motor,4, Public ,Automobile , 44 years old , Chennai +250 more, 10k-50k Employees ,3.3k Reviews
112,BigBasket,4, Indian Unicorn ,Internet , 12 years old , Bangalore +99 more, 10k-50k Employees ,3.2k Reviews
113,Bosch,4.3, Public ,Auto Components , 137 years old , Gerlingen +92 more, 10k-50k Employees ,3.2k Reviews
114,Oyo Rooms,3.4, Indian Unicorn ,Hospitality , 10 years old , Gurgaon +109 more, 1k-5k Employees ,3.2k Reviews
115,Indiamart Intermesh,3.7, 27 years old ,Internet , Noida +121 more,, 10k-50k Employees ,3.2k Reviews
116,Manappuram Finance,3.9, Public ,NBFC , 74 years old , Thrissur/Trichur +447 more, 10k-50k Employees ,3.1k Reviews
117,Atos Syntel,3.6, 43 years old ,IT Services & Consulting , Troy +16 more,, 5k-10k Employees ,3.1k Reviews
118,Intelenet Global Services,3.7, 23 years old ,BPO , Mumbai +57 more,, 10k-50k Employees ,3.1k Reviews
119,Future Group,4.2, Conglomerate ,Retail , 10 years old , Mumbai +197 more, 10k-50k Employees ,3.1k Reviews
120,SBI Cards & Payment Services,3.7, 25 years old ,Financial Services , Gurgaon/Gurugram +297 more,, 1k-5k Employees ,3.1k Reviews
121,BNY Mellon,4.1, Forbes Global 2000 ,IT Services & Consulting , 19 years old , New York City +12 more, 5k-10k Employees ,3.1k Reviews
122,Cummins,4.4, Fortune India 500 ,Auto Components , 61 years old , Columbus +92 more, 10k-50k Employees ,3.1k Reviews
123,Bosch Global Software Technologies,4.2, 33 years old ,Software Product , Gerlingen +24 more,, 10k-50k Employees ,3.1k Reviews
124,SMFG India Credit,4.1, 16 years old ,NBFC , Mumbai +449 more,, 10k-50k Employees ,3k Reviews
125,UST,3.8, 22 years old ,IT Services & Consulting , Aliso Viejo +32 more,, 10k-50k Employees ,3k Reviews
126,Wipro BPS,3.8, 23 years old ,IT Services & Consulting , Bengaluru +37 more,, 1 Lakh+ Employees ,3k Reviews
127,IQVIA,4.1, Forbes Global 2000 ,Clinical Research , 41 years old , Durham +38 more, 10k-50k Employees ,3k Reviews
128,Coforge,3.6, Public ,IT Services & Consulting , 19 years old , Noida +78 more, 10k-50k Employees ,3k Reviews
129,Amdocs,4, Forbes Global 2000 ,Software Product , 41 years old , Chesterfield +13 more, 10k-50k Employees ,3k Reviews
130,ICICI Lombard General Insurance Company,3.8, Public ,Insurance , 22 years old , Mumbai +229 more, 10k-50k Employees ,3k Reviews
131,Schneider Electric,4.1, Forbes Global 2000 ,Industrial Automation , 24 years old , Paris +99 more, 10k-50k Employees ,3k Reviews
132,Nagarro,4.4, 27 years old ,IT Services & Consulting , Munich +33 more,, 10k-50k Employees ,3k Reviews
133,Samsung,4.1, 85 years old ,5k-10k Employees , Seoul +389 more,, Public ,3k Reviews
134,CBRE,4.2, Forbes Global 2000 ,Real Estate , 117 years old , Los Angeles +61 more, 10k-50k Employees ,2.9k Reviews
135,GlobalLogic,3.8, 23 years old ,IT Services & Consulting , San Jose +25 more,, 10k-50k Employees ,2.9k Reviews
136,Virtusa Consulting Services,3.8, 27 years old ,IT Services & Consulting , Southborough +25 more,, 10k-50k Employees ,2.9k Reviews
137,JBM Group,4, Public ,Auto Components , 40 years old , Gurgaon/Gurugram +75 more, 10k-50k Employees ,2.9k Reviews
138,Dell,4.1, Forbes Global 2000 ,Consumer Electronics & Appliances , 39 years old , Round Rock +82 more, 10k-50k Employees ,2.9k Reviews
139,Ecom Express,4.1, 11 years old ,Logistics , Gurgaon +560 more,, 10k-50k Employees ,2.8k Reviews
140,State Bank of India,3.8, Fortune India 500 ,Banking , 217 years old , Mumbai +427 more, 1 Lakh+ Employees ,2.8k Reviews
141,Bajaj Auto,3.9, Public ,Automobile , 78 years old , Pune +223 more, 5k-10k Employees ,2.8k Reviews
142,Cholamandalam Investment & Finance,4.1, Fortune India 500 ,NBFC , 45 years old , Chennai +542 more, 5k-10k Employees ,2.8k Reviews
143,Equitas Small Finance Bank,4.1, Fortune India 500 ,Banking , 16 years old , Chennai +322 more, 10k-50k Employees ,2.8k Reviews
144,Swiggy,4, Indian Unicorn ,Internet , 9 years old , Bangalore +155 more, 5k-10k Employees ,2.8k Reviews
145,Viatris,4.2, Forbes Global 2000 ,Pharma , 62 years old , Canonsburg +64 more, 10k-50k Employees ,2.8k Reviews
146,Samvardhana Motherson Group,3.8, Public ,Auto Components , 37 years old , Noida +67 more, 5k-10k Employees ,2.8k Reviews
147,KEC International,4.1, Public ,Real Estate , 78 years old , Mumbai +241 more, 5k-10k Employees ,2.7k Reviews
148,Nagarjuna Construction Company,4.1, Public ,Engineering & Construction , 25 years old , Hyderabad/Secunderabad +198 more, 1k-5k Employees ,2.7k Reviews
149,Ekart Logistics,4.1, 14 years old ,Logistics , San Francisco +498 more,, 5k-10k Employees ,2.7k Reviews
150,SBI Life Insurance Company,3.8, 22 years old ,Insurance , Mumbai +480 more,, 10k-50k Employees ,2.7k Reviews
151,Muthoot Fincorp,4, Conglomerate ,NBFC , 136 years old , Trivandrum/Thiruvananthapuram +503 more, 10k-50k Employees ,2.7k Reviews
152,L&T Technology Services,3.4, Public ,IT Services & Consulting , 11 years old , Vadodara/Baroda +33 more, 10k-50k Employees ,2.7k Reviews
153,Aditya Birla Fashion and Retail,4.2, Fortune India 500 ,Retail , 8 years old , Mumbai +209 more, 10k-50k Employees ,2.7k Reviews
154,Godrej & Boyce Manufacturing,3.9, Fortune India 500 ,FMCG , 126 years old , Mumbai +122 more, 10k-50k Employees ,2.7k Reviews
155,Optum,4.1, 46 years old ,Healthcare , Prairie +22 more,, 10k-50k Employees ,2.7k Reviews
156,Royal Enfield,4.2, 122 years old ,Automobile , Gurgaon/Gurugram +274 more,, 1k-5k Employees ,2.7k Reviews
157,Tata Communications,4.2, Public ,Telecom , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.7k Reviews
158,LG Electronics,4, Public ,Consumer Electronics & Appliances , 65 years old , Seoul +223 more, 10k-50k Employees ,2.6k Reviews
159,Piramal Capital Housing Finance,4.3, 3 years old ,NBFC , Mumbai +291 more,, 5k-10k Employees ,2.6k Reviews
160,John Deere,4.3, Fortune India 500 ,IT Services & Consulting , 22 years old , Moline +104 more, 5k-10k Employees ,2.6k Reviews
161,L&T Finance,4, Public ,NBFC , 29 years old , Mumbai +438 more, 10k-50k Employees ,2.6k Reviews
162,Whitehat jr,3.6, Startup ,EdTech , 5 years old , Mumbai +47 more, 5k-10k Employees ,2.6k Reviews
163,Intas Pharmaceuticals,4.2, Fortune India 500 ,Pharma , 23 years old , Ahmedabad +106 more, 10k-50k Employees ,2.6k Reviews
164,Varun Beverages,4, Public ,Beverage , 28 years old , Gurgaon/Gurugram +245 more, 10k-50k Employees ,2.5k Reviews
165,Thermax Limited,4.2, Public ,Industrial Machinery , 43 years old , Pune +144 more, 5k-10k Employees ,2.5k Reviews
166,Ford Motor,4.5, Public ,Automobile , 120 years old , Dearborn +101 more, 5k-10k Employees ,2.5k Reviews
167,Hetero Drugs,3.8, 30 years old ,Pharma , Hyderabad/Secunderabad +34 more,, 1k-5k Employees ,2.5k Reviews
168,UnitedHealth,4.2, Forbes Global 2000 ,Healthcare , 46 years old , Minnetonka +14 more, 10k-50k Employees ,2.5k Reviews
169,Sodexo,4.1, Forbes Global 2000 ,Facility Management Services , 15 years old , Issy les Moulineaux +121 more, 10k-50k Employees ,2.5k Reviews
170,Randstad,3.9, 31 years old ,1k-5k Employees , Chennai +226 more,, Conglomerate ,2.5k Reviews
171,Deutsche Bank,4.1, Fortune India 500 ,Banking , 153 years old , Frankfurt +31 more, 10k-50k Employees ,2.5k Reviews
172,Subros,4, Public ,Auto Components , 38 years old , Noida +38 more, 1k-5k Employees ,2.5k Reviews
173,Macleods Pharmaceuticals,3.8, Public ,Pharma , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.5k Reviews
174,Abbott Healthcare,4.2, Public ,Pharma , 32 years old , Illinois City +159 more, 1k-5k Employees ,2.5k Reviews
175,VE Commercial Vehicles,4, 15 years old ,Automobile , Gurgaon/Gurugram +116 more,, 1k-5k Employees ,2.4k Reviews
176,Automatic Data Processing (ADP),4.2, Forbes Global 2000 ,IT Services & Consulting , 74 years old , New Jersey +17 more, 5k-10k Employees ,2.4k Reviews
177,American Express,4.3, Forbes Global 2000 ,Financial Services , 173 years old , New York City +39 more, 10k-50k Employees ,2.4k Reviews
178,Havells,4.1, Public ,Electrical Equipment , 40 years old , Noida +156 more, 5k-10k Employees ,2.4k Reviews
179,CARS24,3.6, Indian Unicorn ,Internet , 8 years old , Gurgaon +139 more, 5k-10k Employees ,2.4k Reviews
180,Pidilite Industries,4.3, Public ,Chemicals , 64 years old , Mumbai +201 more, 5k-10k Employees ,2.3k Reviews
181,Wipro Consumer Care & Lighting,3.7, 78 years old ,FMCG , Bangalore/Bengaluru +81 more,, 1k-5k Employees ,2.3k Reviews
182,Alkem Laboratories,4, Public ,Pharma , 50 years old , Mumbai +134 more, 10k-50k Employees ,2.3k Reviews
183,Indian Air Force,4.6, 91 years old ,Defence & Aerospace , New Delhi +108 more,, 1 Lakh+ Employees ,2.3k Reviews
184,Hindustan Coca Cola Beverages,4.4, 26 years old ,Beverage , Bangalore +192 more,, 5k-10k Employees ,2.3k Reviews
185,Alembic Pharmaceuticals,4, Public ,Pharma , 116 years old , Vadodara/Baroda +129 more, 10k-50k Employees ,2.3k Reviews
186,Bharat Electronics,4.1, Fortune India 500 ,Consumer Electronics & Appliances , 69 years old , Bangalore/Bengaluru +37 more, 5k-10k Employees ,2.3k Reviews
187,Atos,3.9, Forbes Global 2000 ,IT Services & Consulting , 26 years old , Vilnius +36 more, 201-500 Employees ,2.3k Reviews
188,Team Lease,3.9, Public ,Recruitment , 7 years old , Bangalore/Bengaluru +255 more, 1k-5k Employees ,2.3k Reviews
189,Axis Direct,4, 12 years old ,Financial Services , San Mateo +265 more,, 1k-5k Employees ,2.3k Reviews
190,Wipro Infotech,4.1, MNC ,IT Services & Consulting , 78 years old , Bangalore +116 more, 1 Lakh+ Employees (Global) ,2.3k Reviews
191,Cgi Group,4.2, Forbes Global 2000 ,IT Services & Consulting , 47 years old , Montreal +14 more, 10k-50k Employees ,2.3k Reviews
192,Hindalco Industries,4.2, Public ,Metals & Mining , 65 years old , Mumbai +72 more, 10k-50k Employees ,2.3k Reviews
193,Persistent Systems,3.9, Public ,IT Services & Consulting , 33 years old , Pune +17 more, 10k-50k Employees ,2.3k Reviews
194,DCB Bank,3.9, Fortune India 500 ,Banking , 93 years old , Mumbai +283 more, 5k-10k Employees ,2.3k Reviews
195,Vishal Mega Mart,3.8, 15 years old ,Retail , Gurgaon/Gurugram +294 more,, 10k-50k Employees ,2.3k Reviews
196,Publicis Sapient,3.6, 33 years old ,IT Services & Consulting , New York +15 more,, 10k-50k Employees ,2.3k Reviews
197,Glenmark Pharmaceuticals,4, Public ,Pharma , 46 years old , Mumbai +119 more, 501-1k Employees ,2.2k Reviews
198,CMS IT Services,3.2, Startup ,IT Services & Consulting , 9 years old , Bangalore +135 more, 5k-10k Employees ,2.2k Reviews
199,ABB Group,4.1, Public ,Electrical Equipment , 35 years old , Zurich +88 more, 10k-50k Employees ,2.2k Reviews
200,Ipca Laboratories,4, Public ,Pharma , 74 years old , Mumbai +104 more, 10k-50k Employees ,2.2k Reviews
201,NatWest Group,4.1, Forbes Global 2000 ,Banking , Gurgaon/Gurugram +21 more,, 10k-50k Employees ,2.2k Reviews
202,Honda Motorcycle & Scooter,4.2, 24 years old ,Automobile , Gurgaon/Gurugram +191 more,, 1k-5k Employees ,2.2k Reviews
203,DTDC Express,3.8, 33 years old ,Logistics , Bangalore/Bengaluru +207 more,, 1k-5k Employees ,2.2k Reviews
204,Standard Chartered Bank,4, Fortune India 500 ,Banking , 54 years old , London +57 more, 10k-50k Employees ,2.2k Reviews
205,R1 RCM,3.9, 20 years old ,Accounting & Auditing , Murray +19 more,, 5k-10k Employees ,2.2k Reviews
206,Bank of America,4.4, Fortune India 500 ,Banking , 25 years old , Charlotte +25 more, 10k-50k Employees ,2.2k Reviews
207,MRF Tyres,3.7, Public ,Auto Components , 77 years old , Chennai +160 more, 10k-50k Employees ,2.2k Reviews
208,Aarti Industries,4.1, Public ,Chemicals , 48 years old , Mumbai +37 more, 5k-10k Employees ,2.2k Reviews
209,Maersk,4.3, 119 years old ,Logistics , Copenhagen +26 more,, 10k-50k Employees ,2.2k Reviews
210,Indiabulls Home Loans,3.8, Public ,NBFC , 18 years old , Gurgaon/Gurugram +175 more, 5k-10k Employees ,2.2k Reviews
211,Access Healthcare,4, 12 years old ,IT Services & Consulting , Dallas +19 more,, 1k-5k Employees ,2.2k Reviews
212,Reliance Nippon Life Insurance,3.9, 23 years old ,Insurance , Mumbai +408 more,, 10k-50k Employees ,2.2k Reviews
213,GATI-KWE,4.1, 11 years old ,Logistics , Hyderabad/Secunderabad +153 more,, 1k-5k Employees ,2.2k Reviews
214,Biocon,3.9, Public ,Biotechnology , 45 years old , Bangalore/Bengaluru +58 more, 10k-50k Employees ,2.2k Reviews
215,24/7 Customer,3.6, 23 years old ,Software Product , San Jose +22 more,, 5k-10k Employees ,2.1k Reviews
216,Tata AIA Life Insurance,4.1, 22 years old ,Insurance , Mumbai +263 more,, 10k-50k Employees ,2.1k Reviews
217,ITC Infotech India,3.6, 23 years old ,IT Services & Consulting , Bangalore/Bengaluru +43 more,, 5k-10k Employees ,2.1k Reviews
218,Utkarsh Small Finance Bank,3.9, Public ,Banking , 14 years old , Varanasi +265 more, 10k-50k Employees ,2.1k Reviews
219,Shoppers Stop,4.2, Public ,Retail , 32 years old , Mumbai +59 more, 5k-10k Employees ,2.1k Reviews
220,Conduent,3.6, 6 years old ,IT Services & Consulting , Florham Park +19 more,, 5k-10k Employees ,2.1k Reviews
221,Paras Hospital,4.7, 17 years old ,Healthcare , Gurgaon/Gurugram +34 more,, 5k-10k Employees ,2.1k Reviews
